IUS Spring 2025 Course schedule Undergraduate,,,,,,
Code,Course Code and Name,Day1,Day2,Venue 1,Venue 2,Important Notes
LAW443.1,LAW443.1 Legal Ethics,Tue. 12:00-14:50,,B F2.8,,
LAW533.1,LAW533.1 Comparative Administrative Law,Wed. 17:00-19:50,,A F2.13,,
MAC102.1,MAC102.1 Introduction to Media Studies,Tue. 15:00-17:50,,A F1.23,,
MAN102.1,MAN102.1 Introduction to Management,Fri. 09:00-11:50,,B F1.23 - Amphitheater I,,
MAN105.1,MAN105.1 Corporate Social Responsibility,Mon. 16:00-17:50,,B F1.8,,
MAN302.1,MAN302.1 Human Resource Management,Tue. 12:00-14:50,,B F2.17,,
MAN303.1,MAN303.1 Entrepreneurship and Small Business Management,Wed. 10:00-12:50,,B F2.4,,
MAN304.1,MAN304.1 Organizational Behavior,Thu. 09:00-11:50,,B F2.16,,
MAN328.1,MAN328.1 Sales Management,Thu. 09:00-11:50,,B F1.1 FBA Graduate Seminar Room,,
MAN332.1,MAN332.1 Business Law,Tue. 17:00-20:50,,B F1.23 - Amphitheater I,,
MAN352.1,MAN352.1 Consumer Behavior,Fri. 14:00-16:50,,B F2.17,,
MAN402.1,MAN402.1 Strategic Management,Tue. 09:00-11:50,,B F2.5,,
MAN406.1,MAN406.1 Innovation Management,Fri. 09:00-11:50,,B F1.1 FBA Graduate Seminar Room,,
MAN443.1,MAN443.1 International Marketing,Tue. 12:00-14:50,,B F1.1,,
MAN453.1,MAN453.1 Project Management,Wed. 12:00-14:50,,B F1.16,,
MATH100.1,MATH100.1 Mathematical Skills,Tue. 09:00-11:50,,B F1.23 - Amphitheater I,,Day and time change
MATH100.2,MATH100.2 Mathematical Skills,Mon. 09:00-11:50,,B F2.17,,
MATH101.1,MATH101.1 Calculus I,Wed. 17:00-19:50,,B F2.15 - Amphitheater II,,Day and time change
MATH101.2,MATH101.2 Calculus I,Wed. 16:00-16:50,Thu. 13:00-14:50,A F1.24 - Amphitheater I,A F1.24 - Amphitheater I,
MATH102.1,MATH102.1 Calculus II,Mon. 09:00-09:50,Tue. 12:00-13:50,A F1.24 - Amphitheater I,A F1.24 - Amphitheater I,
MATH201.1,MATH201.1 Linear Algebra,Mon. 14:00-14:50,Wed. 09:00-10:50,A F1.24 - Amphitheater I,A F1.24 - Amphitheater I,
MATH201.2,MATH201.2 Linear Algebra,Mon. 10:00-10:50,Wed. 12:00-13:50,A F1.24 - Amphitheater I,A F1.24 - Amphitheater I,
MATH201.3,MATH201.2 Linear Algebra,Thu. 09:00-11:50,,A F1.24 - Amphitheater I,,New Section
MATH205.1,MATH205.1 Numerical Analysis,Wed. 15:00-17:50,,B F1.23 - Amphitheater I,,
MATH207.1,MATH207.1 Vector Calculus,Mon. 12:00-14:50,,A F1.24 - Amphitheater I,,
MATH209.1,MATH209.1 Discrete Mathematics II,Thu. 09:00-11:50,,B F2.17,,
MATH209.2,MATH209.2 Discrete Mathematics II,Mon. 12:00-14:50,,A F2.3,,
MATH306.1,MATH306.1 Statistical Modeling,Wed. 13:00-15:50,,A F1.10,,
ME206.1,ME206.1 Engineering Materials,Wed. 10:00-12:50,,A F1.18 Computer Lab,,
ME211.1,ME211.1 Strength of Materials II,Mon. 12:00-14:50,,A F2.13,,
